(149 , 146 , 140),
(166 , 117 , 14),
(124 , 146 , 182),
(141 , 137 , 97),
(128 , 148 , 132),
(164 , 99 , 13),
(179 , 178 , 179),
(140 , 144 , 204),
(178 , 117 , 11),
(125 , 113 , 111),
(198 , 191 , 157),
(116 , 104 , 63),
(116 , 116 , 168),
(24 , 27 , 27),
(109 , 161 , 142),
(172 , 116 , 2),
(210 , 211 , 184),
(61 , 73 , 40),
(122 , 69 , 11),
(191 , 197 , 143),
(111 , 123 , 85),
(198 , 169 , 45),
(157 , 148 , 191),
(161 , 200 , 221),
(101 , 77 , 73),
(76 , 136 , 177),
(6 , 15 , 34),
(107 , 96 , 138),
(89 , 153 , 109),
(168 , 126 , 108),
(176 , 176 , 85),
(194 , 134 , 19),
