(42 , 15 , 18),
(41 , 54 , 34),
(123 , 98 , 77),
(101 , 77 , 51),
(142 , 141 , 82),
(22 , 3 , 5),
(151 , 133 , 66),
(44 , 51 , 19),
(82 , 89 , 48),
(198 , 163 , 110),
(170 , 158 , 86),
(110 , 91 , 48),
(58 , 93 , 67),
(39 , 68 , 36),
(34 , 18 , 32),
(113 , 95 , 102),
(225 , 186 , 93),
(128 , 107 , 37),
(72 , 50 , 52),
(121 , 128 , 77),
(96 , 130 , 105),
(94 , 53 , 7),
(89 , 94 , 72),
(19 , 5 , 20),
(216 , 183 , 100),
(62 , 34 , 30),
(71 , 86 , 65),
(57 , 70 , 52),
(167 , 170 , 115),
(196 , 153 , 69),
(114 , 65 , 5),
(179 , 133 , 56),
