(112 , 93 , 94),
(128 , 112 , 114),
(92 , 70 , 60),
(140 , 103 , 90),
(151 , 140 , 144),
(118 , 89 , 65),
(57 , 41 , 37),
(100 , 53 , 50),
(152 , 128 , 124),
(91 , 79 , 83),
(190 , 148 , 156),
(157 , 138 , 124),
(163 , 168 , 185),
(200 , 179 , 189),
(65 , 51 , 52),
(99 , 76 , 67),
(130 , 62 , 61),
(213 , 195 , 206),
(223 , 166 , 172),
(108 , 108 , 122),
(122 , 32 , 37),
(70 , 53 , 43),
(164 , 127 , 136),
(36 , 16 , 19),
(118 , 102 , 104),
(190 , 177 , 197),
(135 , 2 , 25),
(229 , 186 , 188),
(173 , 142 , 152),
(143 , 115 , 146),
(127 , 120 , 58),
(143 , 149 , 173),
(14 , 8 , 11),
(129 , 146 , 177),
(143 , 144 , 158),
(210 , 167 , 178),
(144 , 130 , 132),
(173 , 179 , 196),
(175 , 125 , 110),
(219 , 218 , 231),
(198 , 125 , 138),
(167 , 82 , 79),
(221 , 1 , 43),
(248 , 213 , 219),
(207 , 181 , 140),
(154 , 36 , 60),
(138 , 77 , 85),
(121 , 49 , 49),
(114 , 11 , 24),
(205 , 166 , 157),
(252 , 69 , 96),
(164 , 13 , 47),
(169 , 157 , 130),
(83 , 75 , 80),
(23 , 16 , 21),
(194 , 84 , 89),
(186 , 146 , 132),
(139 , 45 , 50),
(85 , 20 , 25),
(175 , 112 , 99),
(242 , 107 , 116),
(120 , 117 , 79),
(250 , 27 , 83),
(181 , 146 , 95),
